,Category,Stage,Avg,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,total
2,Alternatives for SUPs,Action,10,0,0,10,0,10,0,10,0,0,0,0,0,40
3,Alternatives for SUPs,Action,10,10,10,0,10,0,0,0,0,0,0,0,0,40
6,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,10,0,0,0,20
7,Alternatives for SUPs,Action,10,0,0,10,10,10,0,10,10,10,10,0,10,90
8,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
14,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,0,0,0,0,20
15,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,10,10,40
25,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,0,10,10,10,120
28,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
32,Alternatives for SUPs,Action,10,10,10,10,10,0,10,10,0,10,0,0,10,90
55,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
64,Alternatives for SUPs,Action,10,10,0,0,0,0,0,0,0,10,0,0,0,30
65,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,0,0,0,0,20
66,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,0,0,10,0,0,40
67,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,0,0,10,110
68,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,0,0,10,110
69,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
70,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,0,0,0,0,0,20
71,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
72,Alternatives for SUPs,Action,10,0,10,0,0,0,10,0,0,0,10,0,0,40
73,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
74,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
75,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,0,30
76,Alternatives for SUPs,Action,10,10,0,0,10,10,0,0,0,0,0,0,10,50
77,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,0,0,0,0,20
78,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,0,0,0,0,20
79,Alternatives for SUPs,Action,10,10,10,0,10,0,0,0,0,0,0,0,0,40
80,Alternatives for SUPs,Action,10,0,10,0,10,10,10,10,10,10,10,10,10,110
81,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
82,Alternatives for SUPs,Action,10,0,10,10,0,0,10,10,10,10,10,0,10,90
83,Alternatives for SUPs,Action,10,0,10,0,0,0,0,0,0,10,0,0,0,30
84,Alternatives for SUPs,Action,390,210,260,320,390,260,480,320,480,390,480,320,390,4690
85,Alternatives for SUPs,Action,10,0,0,0,0,0,50,40,20,10,10,10,10,160
86,Alternatives for SUPs,Action,390,210,260,320,390,260,480,320,480,390,480,320,390,4690
87,Alternatives for SUPs,Action,90,30,50,70,40,90,90,140,140,110,140,90,90,1170
88,Alternatives for SUPs,Action,70,40,40,50,70,70,90,70,90,70,90,140,50,940
89,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,20,140
90,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,10,10,20,10,30,170
91,Alternatives for SUPs,Action,10,0,0,10,10,0,10,10,10,10,20,20,10,120
92,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,10,10,140
93,Alternatives for SUPs,Action,20,10,20,30,40,40,20,10,20,10,20,40,10,290
94,Alternatives for SUPs,Action,20,10,10,10,20,30,50,30,30,20,30,10,10,280
95,Alternatives for SUPs,Action,70,40,40,70,70,50,90,70,90,50,70,40,50,800
96,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,30,10,20,160
97,Alternatives for SUPs,Action,30,10,20,30,40,20,30,30,50,50,40,20,30,400
98,Alternatives for SUPs,Action,390,170,170,390,480,480,720,590,590,390,390,260,260,5280
99,Alternatives for SUPs,Action,30,0,20,20,50,30,50,40,50,70,40,20,10,430
100,Alternatives for SUPs,Action,140,50,90,140,210,260,260,210,210,170,110,50,50,1950
101,Alternatives for SUPs,Action,40,30,20,40,40,70,50,30,50,50,30,30,10,490
102,Alternatives for SUPs,Action,10,10,10,10,20,10,10,10,10,10,10,10,10,140
103,Alternatives for SUPs,Action,10,10,10,10,10,10,10,0,10,10,10,0,0,100
104,Alternatives for SUPs,Action,50,40,50,30,40,50,30,30,40,70,110,140,70,750
105,Alternatives for SUPs,Action,480,260,390,480,390,480,590,480,480,390,480,480,320,5700
106,Alternatives for SUPs,Action,10,0,0,10,10,10,0,0,0,0,0,10,0,50
107,Alternatives for SUPs,Action,140,90,110,90,140,170,170,110,170,70,110,170,90,1630
108,Alternatives for SUPs,Action,30,30,50,20,30,10,20,40,30,20,40,30,40,390
109,Alternatives for SUPs,Action,20,10,10,10,10,20,20,10,40,20,70,10,40,290
110,Alternatives for SUPs,Action,30,10,10,10,20,30,20,20,40,40,30,70,40,370
111,Alternatives for SUPs,Action,260,140,210,210,260,320,260,320,390,320,320,320,210,3540
112,Alternatives for SUPs,Action,1000,70,110,1000,1000,720,1000,880,3600,480,1900,1000,260,13020
113,Alternatives for SUPs,Action,20,10,10,20,20,20,20,30,20,20,10,10,10,220
114,Alternatives for SUPs,Action,70,10,50,40,40,110,90,70,70,50,70,90,90,850
115,Alternatives for SUPs,Action,10,10,0,10,10,10,0,10,10,10,10,0,10,100
116,Alternatives for SUPs,Action,20,10,10,10,10,10,20,30,40,30,50,30,30,300
117,Alternatives for SUPs,Action,10,10,0,0,0,10,10,10,0,10,10,10,0,80
118,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,0,120
119,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
120,Alternatives for SUPs,Action,10,10,10,0,10,10,10,10,10,10,10,10,10,120
121,Alternatives for SUPs,Action,10,0,10,10,10,10,10,10,0,0,10,10,0,90
122,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,10,10,10,60
123,Alternatives for SUPs,Action,90,30,50,70,40,90,90,140,140,110,140,90,90,1170
124,Alternatives for SUPs,Action,30,10,20,20,20,30,50,30,40,40,30,20,20,360
125,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,0,120
126,Alternatives for SUPs,Action,50,20,40,50,40,30,40,70,50,70,70,40,70,640
127,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
128,Alternatives for SUPs,Action,50,20,40,50,50,50,70,50,40,40,50,50,30,590
129,Alternatives for SUPs,Action,20,10,20,30,20,20,20,40,30,20,20,30,40,320
130,Alternatives for SUPs,Action,10,0,10,10,10,10,10,10,10,0,0,10,0,90
131,Alternatives for SUPs,Action,10,0,0,10,10,10,10,0,10,10,0,0,10,80
132,Alternatives for SUPs,Action,10,10,0,10,10,10,10,10,10,10,10,10,10,120
133,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
134,Alternatives for SUPs,Action,10,10,10,0,10,10,10,10,10,10,40,10,10,150
135,Alternatives for SUPs,Action,20,10,20,20,30,10,20,30,30,20,10,40,10,270
136,Alternatives for SUPs,Action,20,10,10,10,10,30,20,40,40,20,30,30,10,280
137,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
138,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,0,10,120
139,Alternatives for SUPs,Action,70,70,50,50,90,70,50,70,110,70,110,70,70,950
140,Alternatives for SUPs,Action,10,10,0,10,10,0,10,10,10,10,10,10,10,110
141,Alternatives for SUPs,Action,10,10,10,10,10,0,10,10,10,0,0,0,0,80
142,Alternatives for SUPs,Action,10,10,10,0,10,0,10,10,10,10,10,0,0,90
143,Alternatives for SUPs,Action,10,0,0,0,10,0,10,0,0,10,10,0,0,50
144,Alternatives for SUPs,Action,50,30,30,50,40,30,90,70,70,70,70,40,40,680
145,Alternatives for SUPs,Action,10,0,10,0,10,0,10,10,10,10,10,10,0,90
146,Alternatives for SUPs,Action,10,0,10,10,10,10,10,10,10,10,10,10,10,120
147,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
148,Alternatives for SUPs,Action,10,10,10,10,0,10,10,10,10,0,10,0,0,90
149,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
150,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
151,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,0,0,0,0,20
152,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,10,0,0,0,20
153,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
154,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
155,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
156,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
157,Alternatives for SUPs,Action,10,0,10,10,10,0,10,10,0,0,10,10,0,80
158,Alternatives for SUPs,Action,10,0,0,0,0,10,10,10,0,10,0,10,0,60
159,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
160,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,0,0,0,0,0,20
161,Alternatives for SUPs,Action,10,0,10,10,10,0,0,10,10,0,10,10,10,90
162,Alternatives for SUPs,Action,10,10,0,0,0,10,10,10,10,0,0,0,0,60
163,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,10,10,20,20,20,170
164,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,20,10,20,10,10,160
165,Alternatives for SUPs,Action,10,0,0,10,10,0,0,10,10,10,10,0,0,70
166,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
167,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,10,10,0,0,0,50
168,Alternatives for SUPs,Action,30,20,30,20,40,20,40,30,40,40,40,50,30,430
169,Alternatives for SUPs,Action,30,20,40,30,30,20,50,30,30,30,40,30,30,410
170,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,0,120
171,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,20,30,60
172,Alternatives for SUPs,Action,30,20,40,40,30,20,40,30,30,30,20,20,20,370
173,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,10,30,160
174,Alternatives for SUPs,Action,90,70,90,70,70,50,110,90,110,90,110,70,110,1130
175,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
176,Alternatives for SUPs,Action,40,30,30,50,50,50,50,30,40,30,40,30,20,490
177,Alternatives for SUPs,Action,30,10,20,30,40,30,40,10,20,30,40,20,30,350
178,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
179,Alternatives for SUPs,Action,210,110,170,110,140,170,110,170,210,320,320,390,260,2690
180,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
181,Alternatives for SUPs,Action,50,30,30,20,20,50,70,30,70,40,50,70,70,600
182,Alternatives for SUPs,Action,10,10,10,10,10,10,20,10,10,10,10,10,10,140
183,Alternatives for SUPs,Action,10,10,10,10,10,10,10,0,10,10,10,10,0,110
184,Alternatives for SUPs,Action,10,10,10,10,20,10,10,10,10,10,10,10,10,140
185,Alternatives for SUPs,Action,10,0,10,0,10,10,0,0,0,0,0,0,0,40
186,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,10,0,0,0,30
187,Alternatives for SUPs,Action,40,30,40,40,30,20,30,30,50,50,30,20,50,460
188,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,10,20,20,10,20,170
189,Alternatives for SUPs,Action,10,10,20,10,20,20,10,10,20,10,20,20,20,200
190,Alternatives for SUPs,Action,10,10,0,10,10,0,10,10,10,10,10,10,10,110
191,Alternatives for SUPs,Action,70,70,50,50,70,70,110,110,90,70,70,70,90,990
192,Alternatives for SUPs,Action,40,20,40,20,50,40,50,40,50,50,50,30,40,520
193,Alternatives for SUPs,Action,10,10,10,10,10,10,20,10,10,10,10,10,10,140
194,Alternatives for SUPs,Action,10,0,0,0,0,10,10,10,10,0,10,0,10,70
195,Alternatives for SUPs,Action,30,20,30,30,20,30,40,40,30,30,20,20,20,360
196,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,0,10,10,120
197,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,20,10,140
198,Alternatives for SUPs,Action,50,30,50,50,70,30,90,90,40,40,70,40,40,690
199,Alternatives for SUPs,Action,30,20,10,20,30,20,30,40,20,30,30,30,20,330
200,Alternatives for SUPs,Action,10,0,0,0,0,0,10,0,0,0,10,0,0,30
201,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
202,Alternatives for SUPs,Action,140,90,110,90,170,110,140,170,210,210,170,170,140,1920
203,Alternatives for SUPs,Action,110,110,90,90,90,110,170,90,140,140,140,140,110,1530
204,Alternatives for SUPs,Action,20,10,10,10,20,10,20,20,30,30,30,20,20,250
205,Alternatives for SUPs,Action,50,30,40,40,20,40,50,50,70,50,110,90,50,690
206,Alternatives for SUPs,Action,90,30,40,70,50,90,110,90,170,140,110,110,90,1190
207,Alternatives for SUPs,Action,40,10,20,30,30,40,40,30,50,70,50,50,10,470
208,Alternatives for SUPs,Action,40,30,30,20,20,40,40,20,50,50,50,40,30,460
209,Alternatives for SUPs,Action,1000,70,110,1000,1000,720,1000,880,3600,480,1900,1000,260,13020
210,Alternatives for SUPs,Action,720,590,590,590,720,1000,1000,880,880,590,480,480,260,8780
211,Alternatives for SUPs,Action,20,20,10,10,30,20,20,20,30,30,40,40,30,320
212,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
213,Alternatives for SUPs,Action,720,590,590,590,720,1000,1000,880,880,590,480,480,260,8780
214,Alternatives for SUPs,Action,40,40,30,30,70,70,30,40,70,20,20,30,20,510
215,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
216,Alternatives for SUPs,Action,70,70,70,90,50,70,70,70,90,90,70,50,50,910
217,Alternatives for SUPs,Action,10,10,10,10,0,10,0,10,10,10,0,10,10,100
218,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,0,0,10,10,0,50
219,Alternatives for SUPs,Action,70,40,70,70,70,70,50,70,70,50,70,70,70,840
220,Alternatives for SUPs,Action,20,10,10,20,10,10,20,40,20,10,10,10,10,200
221,Alternatives for SUPs,Action,10,0,10,0,0,0,0,0,10,0,0,0,0,30
222,Alternatives for SUPs,Action,30,20,30,20,40,20,40,30,30,50,50,40,40,440
223,Alternatives for SUPs,Action,20,10,20,10,10,10,30,40,30,30,70,20,20,320
224,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
225,Alternatives for SUPs,Action,10,0,0,0,0,0,10,0,0,0,0,0,0,20
226,Alternatives for SUPs,Action,10,20,0,0,10,10,10,0,10,0,10,0,10,90
227,Alternatives for SUPs,Action,10,10,10,10,0,10,10,10,10,10,10,10,10,120
228,Alternatives for SUPs,Action,10,10,10,10,10,0,0,10,0,10,0,10,0,80
229,Alternatives for SUPs,Action,50,30,20,50,40,30,50,40,50,40,90,70,40,600
230,Alternatives for SUPs,Action,10,10,0,0,0,10,0,0,10,0,10,0,10,60
231,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,10,0,10,10,0,50
232,Alternatives for SUPs,Action,10,10,10,10,0,10,10,10,10,20,30,20,10,160
233,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
234,Alternatives for SUPs,Action,10,0,0,0,10,10,0,10,0,0,10,0,10,60
235,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,20,10,150
236,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,20,10,150
237,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,10,10,10,10,0,130
238,Alternatives for SUPs,Action,10,10,0,10,0,0,0,10,0,0,10,0,0,50
239,Alternatives for SUPs,Action,10,0,0,0,0,10,10,0,0,10,0,10,10,60
240,Alternatives for SUPs,Action,10,0,0,10,0,0,10,10,0,0,0,10,0,50
241,Alternatives for SUPs,Action,10,0,0,0,0,0,10,0,0,0,0,0,0,20
242,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
243,Alternatives for SUPs,Action,10,0,0,0,10,10,0,0,10,0,0,0,0,40
244,Alternatives for SUPs,Action,10,0,10,10,10,0,10,10,10,10,0,0,0,80
245,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,0,0,30
246,Alternatives for SUPs,Action,90,50,70,90,90,90,110,70,110,110,90,110,70,1150
247,Alternatives for SUPs,Action,10,10,0,10,0,10,0,0,10,0,0,0,10,60
248,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,10,10,10,0,50
249,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,10,40
250,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,0,0,0,10,30
251,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,0,10,120
252,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,0,10,0,0,0,90
253,Alternatives for SUPs,Action,10,0,0,10,0,0,0,10,10,10,0,10,10,70
254,Alternatives for SUPs,Action,10,10,10,10,10,10,20,10,10,10,10,10,10,140
255,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,0,0,0,0,20
256,Alternatives for SUPs,Action,10,0,10,10,0,0,0,10,0,0,0,10,10,60
257,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
258,Alternatives for SUPs,Action,10,0,0,0,10,0,10,10,10,0,0,0,0,50
259,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
260,Alternatives for SUPs,Action,10,10,10,10,0,0,0,0,0,0,0,0,10,50
261,Alternatives for SUPs,Action,10,0,10,10,10,10,0,0,10,10,10,10,10,100
262,Alternatives for SUPs,Action,10,0,10,0,0,0,0,0,0,10,0,0,0,30
263,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,0,0,0,0,0,20
264,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
265,Alternatives for SUPs,Action,10,0,0,10,20,10,10,10,10,10,10,10,0,110
266,Alternatives for SUPs,Action,10,10,10,10,10,10,0,10,10,10,10,10,10,120
267,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,10,10,140
268,Alternatives for SUPs,Action,30,10,20,10,10,20,20,30,50,40,40,20,20,320
269,Alternatives for SUPs,Action,110,50,50,70,50,110,140,90,140,110,170,170,140,1400
270,Alternatives for SUPs,Action,10,10,10,0,0,10,10,0,10,0,0,10,10,80
271,Alternatives for SUPs,Action,50,30,40,50,70,50,40,50,110,30,30,50,30,630
272,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,10,10,50
273,Alternatives for SUPs,Action,10,0,0,10,0,10,0,0,0,0,10,10,0,50
274,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
275,Alternatives for SUPs,Action,20,10,10,10,10,30,30,10,30,40,30,20,10,260
284,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
285,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,20,10,10,140
294,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
322,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
333,Alternatives for SUPs,Action,10,0,10,0,10,0,10,0,10,10,10,0,10,80
334,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,10,0,0,0,30
382,Alternatives for SUPs,Action,10,0,0,0,10,0,10,0,0,10,0,10,10,60
392,Alternatives for SUPs,Action,10,0,0,10,10,0,10,10,10,10,10,10,10,100
