,Category,Stage,Avg,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,total
410,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,10,0,0,10,40
423,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,20,10,10,140
442,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,10,10,0,10,10,60
443,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,10,0,0,40
444,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
447,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,0,0,30
460,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,0,0,10,0,0,40
472,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,10,0,0,10,30
62,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,10,40
63,Alternatives for SUPs,Action,10,0,0,0,10,0,0,10,10,10,0,0,0,50
12,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
22,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,0,0,0,0,0,30
23,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,0,20
50,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,10,10,10,0,50
276,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,10,0,0,20
277,Ban SUPs,Consideration,10,10,0,10,10,0,10,10,0,10,10,10,10,100
278,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
279,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
280,Ban SUPs,Consideration,10,0,0,0,10,0,10,0,0,10,10,0,10,60
292,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
295,Ban SUPs,Consideration,40,30,30,30,30,30,70,40,70,40,50,20,40,520
296,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
297,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,10,10,10,10,0,70
298,Ban SUPs,Consideration,10,0,10,10,10,0,0,0,10,0,0,0,0,50
326,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
388,Ban SUPs,Consideration,10,0,0,0,10,0,10,10,0,0,0,0,0,40
425,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
426,Ban SUPs,Consideration,40,30,30,30,30,30,70,40,70,40,50,20,40,520
470,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,0,20
474,Ban SUPs,Consideration,10,0,0,0,0,0,0,10,0,10,10,0,10,50
480,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,0,0,0,0,20
481,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,0,0,0,0,20
488,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,0,10,0,0,10,50
492,Ban SUPs,Consideration,10,0,0,0,10,0,0,10,10,0,10,0,0,50
300,"Campaigns, slogans, initiatives",Action,10,10,10,10,10,0,10,10,10,10,10,10,10,120
304,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,10,10,0,10,10,0,50
390,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,0,10,0,10,40
391,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,0,10,0,10,40
393,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,0,10,10,0,0,30
493,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,10,10,0,10,50
291,"Campaigns, slogans, initiatives",Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
365,"Campaigns, slogans, initiatives",Awareness,10,0,0,0,0,0,0,0,10,10,0,0,0,30
1,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,0,0,0,0,20
4,Facts about SUPs,Awareness,10,10,0,0,10,0,0,10,10,10,0,0,0,60
5,Facts about SUPs,Awareness,10,0,0,10,10,0,10,0,0,10,10,0,10,70
9,Facts about SUPs,Awareness,10,0,0,0,10,0,0,10,0,0,0,10,10,50
10,Facts about SUPs,Awareness,10,0,0,10,0,0,10,0,10,10,0,0,10,60
11,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,10,30
13,Facts about SUPs,Awareness,10,10,10,10,10,10,20,10,10,10,10,10,10,140
16,Facts about SUPs,Consideration,10,10,0,0,10,0,10,10,10,10,10,0,0,80
17,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
18,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
19,Facts about SUPs,Consideration,10,0,10,10,10,10,0,10,10,10,10,10,10,110
20,Facts about SUPs,Consideration,10,0,0,10,0,10,0,0,0,0,0,0,10,40
21,Facts about SUPs,Action,10,0,0,0,0,0,0,0,0,10,10,10,0,40
24,Facts about SUPs,Consideration,10,10,10,10,0,0,10,0,10,10,0,0,10,80
26,Facts about SUPs,Awareness,10,10,10,10,10,0,10,10,10,10,10,10,10,120
27,Facts about SUPs,Consideration,10,0,0,0,0,0,10,0,0,10,0,0,10,40
29,Facts about SUPs,Consideration,10,0,10,0,10,10,10,10,10,10,10,10,10,110
30,Facts about SUPs,Consideration,10,10,10,0,10,10,10,10,10,0,10,0,10,100
31,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
33,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,0,0,0,0,0,20
34,Facts about SUPs,Awareness,10,0,10,0,0,0,0,0,0,0,0,0,0,20
35,Facts about SUPs,Consideration,10,10,0,10,10,10,10,10,10,0,10,0,0,90
36,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
37,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,10,30
38,Facts about SUPs,Consideration,10,0,0,0,0,0,10,10,0,0,0,10,10,50
39,Facts about SUPs,Consideration,10,10,0,10,10,10,10,10,10,0,10,0,0,90
40,Facts about SUPs,Consideration,10,0,0,0,0,0,10,0,10,10,10,10,10,70
41,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,10,0,0,20
42,Facts about SUPs,Consideration,10,10,0,0,0,0,0,0,0,0,0,0,0,20
43,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,10,0,0,30
44,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,10,10,0,40
45,Facts about SUPs,Consideration,10,10,0,0,0,0,0,0,0,0,0,0,0,20
46,Facts about SUPs,Consideration,10,0,0,0,0,10,0,0,0,0,0,0,0,20
47,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
48,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
49,Facts about SUPs,Consideration,10,0,10,10,10,0,10,10,10,10,10,0,10,100
51,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,10,0,10,0,40
52,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,0,0,0,0,20
53,Facts about SUPs,Awareness,10,0,10,0,10,0,10,10,10,10,10,0,10,90
54,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
56,Facts about SUPs,Awareness,10,10,10,10,0,0,0,0,10,10,0,0,10,70
57,Facts about SUPs,Awareness,10,0,10,0,0,0,0,10,0,10,0,10,10,60
58,Facts about SUPs,Awareness,10,0,0,0,10,0,0,0,10,10,0,0,0,40
60,Facts about SUPs,Consideration,10,0,10,0,10,0,0,0,10,10,10,10,10,80
61,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,10,0,0,0,30
281,Facts about SUPs,Awareness,390,320,320,390,390,390,480,390,590,590,480,260,480,5470
282,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,10,0,0,30
283,Facts about SUPs,Awareness,10,0,0,0,0,10,10,10,10,10,10,0,10,80
286,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,10,10,10,10,10,60
287,Facts about SUPs,Consideration,10,10,0,10,0,0,0,0,0,0,0,0,0,30
288,Facts about SUPs,Consideration,10,0,0,10,10,0,0,0,0,0,0,0,0,30
289,Facts about SUPs,Consideration,10,0,10,10,0,0,10,0,10,10,0,0,10,70
290,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
293,Facts about SUPs,Awareness,20,20,20,20,20,10,40,20,40,10,20,10,20,270
299,Facts about SUPs,Awareness,10,10,20,10,10,10,10,10,10,10,10,10,10,140
301,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,10,10,0,10,50
302,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,10,30
303,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
305,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
306,Facts about SUPs,Consideration,10,0,0,0,0,0,0,10,10,10,0,0,10,50
307,Facts about SUPs,Awareness,10,0,0,10,0,0,0,0,0,0,0,0,0,20
308,Facts about SUPs,Consideration,10,0,0,0,10,10,0,0,0,0,0,0,0,30
309,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
310,Facts about SUPs,Awareness,10,0,0,0,10,10,0,10,10,0,10,10,10,80
311,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,0,0,110
312,Facts about SUPs,Awareness,10,10,10,10,10,10,10,0,10,10,10,10,0,110
313,Facts about SUPs,Awareness,10,10,10,10,10,0,10,10,0,10,10,10,0,100
314,Facts about SUPs,Awareness,10,0,10,10,0,0,10,10,0,0,0,0,10,60
315,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
316,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
317,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
318,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,10,30
319,Facts about SUPs,Consideration,10,0,0,0,10,0,0,0,10,0,0,0,10,40
320,Facts about SUPs,Consideration,10,0,0,0,10,0,10,0,10,10,0,0,10,60
321,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,10,0,0,0,0,20
323,Facts about SUPs,Consideration,10,0,0,10,10,10,10,0,10,0,0,0,0,60
324,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
329,Facts about SUPs,Awareness,10,10,10,10,20,10,10,10,10,10,10,10,20,150
330,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,10,10,120
331,Facts about SUPs,Awareness,10,0,0,0,10,0,0,10,0,10,10,10,0,60
332,Facts about SUPs,Awareness,10,0,0,10,0,0,0,10,0,0,0,10,0,40
335,Facts about SUPs,Consideration,10,0,0,0,0,0,0,10,0,10,0,0,0,30
336,Facts about SUPs,Consideration,10,0,0,0,0,0,0,10,0,10,0,0,0,30
337,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,10,0,0,0,0,20
338,Facts about SUPs,Awareness,10,0,0,10,10,0,10,0,10,0,0,0,0,50
339,Facts about SUPs,Awareness,10,0,0,0,0,0,10,10,0,0,10,10,0,50
340,Facts about SUPs,Consideration,10,10,10,0,0,0,10,0,0,10,10,10,0,70
341,Facts about SUPs,Consideration,10,0,0,10,10,0,0,0,10,0,10,0,10,60
342,Facts about SUPs,Awareness,10,0,0,10,0,10,0,0,0,0,0,0,0,30
343,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
344,Facts about SUPs,Awareness,10,0,0,10,0,0,0,0,10,10,0,0,0,40
345,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,10,10,0,0,0,40
346,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,10,0,0,0,30
347,Facts about SUPs,Awareness,10,0,0,10,0,10,10,0,0,10,10,10,0,70
348,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
349,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,10,0,20
350,Facts about SUPs,Consideration,10,0,0,0,10,0,10,0,10,10,0,0,10,60
351,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,10,0,110
352,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,0,10,10,10,50
354,Facts about SUPs,Consideration,10,10,0,0,10,0,0,0,10,10,0,0,0,50
355,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,0,20
356,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
357,Facts about SUPs,Awareness,10,10,10,10,0,0,0,10,10,10,10,10,10,100
358,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,0,10,10,0,40
360,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,0,10,0,30
361,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
362,Facts about SUPs,Awareness,10,0,0,0,0,10,10,0,0,0,0,0,0,30
363,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
364,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
366,Facts about SUPs,Awareness,10,0,0,0,10,10,0,0,0,0,0,0,0,30
367,Facts about SUPs,Awareness,10,0,0,0,10,10,0,0,10,10,10,0,0,60
368,Facts about SUPs,Awareness,10,0,0,10,0,0,0,0,0,10,10,0,10,50
369,Facts about SUPs,Awareness,10,0,10,10,0,10,10,10,10,10,0,0,0,80
370,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,10,0,0,30
371,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,10,0,0,30
372,Facts about SUPs,Awareness,10,0,0,10,0,0,10,0,0,0,0,0,0,30
373,Facts about SUPs,Awareness,10,0,0,10,10,0,0,0,10,0,0,0,10,50
374,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
375,Facts about SUPs,Awareness,10,10,10,10,0,10,10,10,0,10,10,10,10,110
376,Facts about SUPs,Consideration,10,10,10,10,20,10,10,10,10,10,10,10,10,140
377,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,0,10,110
378,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,0,20
379,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
380,Facts about SUPs,Awareness,10,0,0,10,0,10,10,10,10,10,10,10,10,100
381,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,10,0,20
383,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,10,30
384,Facts about SUPs,Awareness,10,10,0,10,0,10,10,10,10,10,10,10,0,100
385,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,10,30
386,Facts about SUPs,Awareness,10,0,0,0,10,0,0,10,0,0,10,0,0,40
387,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
389,Facts about SUPs,Awareness,70,50,70,70,70,50,70,90,110,90,50,40,70,900
395,Facts about SUPs,Awareness,10,0,0,10,0,0,0,0,0,0,0,0,0,20
396,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,20,10,10,10,140
397,Facts about SUPs,Awareness,10,10,10,10,0,10,10,0,10,10,0,10,10,100
398,Facts about SUPs,Awareness,10,0,0,0,10,0,0,0,0,10,10,0,0,40
399,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,10,10,30
400,Facts about SUPs,Awareness,10,0,0,0,10,0,10,0,10,10,10,0,10,70
401,Facts about SUPs,Awareness,10,10,10,0,10,0,0,0,10,10,0,0,10,70
402,Facts about SUPs,Awareness,10,0,10,0,10,10,10,0,10,10,10,10,0,90
404,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,0,10,0,0,30
406,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
407,Facts about SUPs,Awareness,10,0,0,0,0,10,10,0,10,0,0,0,0,40
408,Facts about SUPs,Awareness,10,0,10,0,10,0,0,0,0,10,10,0,0,50
409,Facts about SUPs,Awareness,10,0,0,0,0,10,10,0,0,0,0,0,0,30
411,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
412,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,0,20
413,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,10,10,10,0,0,50
414,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
415,Facts about SUPs,Awareness,10,0,10,10,0,0,0,10,0,10,0,10,0,60
416,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,0,0,0,0,0,20
417,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
418,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,10,10,0,0,10,50
419,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,10,10,0,0,0,40
420,Facts about SUPs,Awareness,390,320,320,390,390,390,480,390,590,590,480,260,480,5470
421,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
422,Facts about SUPs,Awareness,390,320,320,390,390,390,480,390,590,590,480,260,480,5470
424,Facts about SUPs,Awareness,20,20,20,20,20,10,40,20,40,10,20,10,20,270
427,Facts about SUPs,Awareness,10,10,20,10,10,10,10,10,10,10,10,10,10,140
428,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
429,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
430,Facts about SUPs,Awareness,10,10,10,10,20,10,10,10,10,10,10,10,20,150
431,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,10,10,120
432,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,10,0,110
433,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
434,Facts about SUPs,Awareness,10,0,10,10,0,10,10,10,10,10,0,0,0,80
435,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
436,Facts about SUPs,Awareness,10,0,10,10,10,10,10,10,10,10,10,0,10,110
437,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,20,10,10,10,140
438,Facts about SUPs,Awareness,10,0,10,10,0,0,0,10,0,10,0,10,0,60
439,Facts about SUPs,Awareness,390,320,320,390,390,390,480,390,590,590,480,260,480,5470
440,Facts about SUPs,Awareness,10,0,0,0,0,10,10,10,10,10,10,0,10,80
441,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
445,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,0,0,0,0,20
446,Facts about SUPs,Awareness,10,0,10,0,10,10,0,10,10,10,10,10,10,100
448,Facts about SUPs,Awareness,10,10,0,0,0,0,10,10,0,0,0,0,0,40
449,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,10,0,0,0,0,30
450,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
451,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,20,20,10,10,10,150
452,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,0,0,0,20
453,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,10,0,0,0,30
454,Facts about SUPs,Awareness,10,10,0,10,10,0,0,10,10,0,10,0,0,70
455,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,0,0,0,10,30
456,Facts about SUPs,Awareness,20,10,10,10,20,10,20,20,70,40,20,10,30,290
457,Facts about SUPs,Awareness,10,0,0,0,10,0,10,10,0,0,10,0,10,60
458,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,10,0,0,0,0,30
459,Facts about SUPs,Awareness,10,0,0,10,0,10,0,0,0,0,0,0,10,40
461,Facts about SUPs,Awareness,10,0,0,10,10,0,10,0,0,10,0,10,10,70
462,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,0,20
463,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,0,0,0,0,10,30
464,Facts about SUPs,Awareness,10,0,0,0,10,0,0,0,0,0,0,0,0,20
465,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
466,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,10,0,0,0,30
467,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,0,0,0,20
468,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,0,0,0,20
469,Facts about SUPs,Awareness,10,0,0,0,10,0,0,10,0,0,0,0,10,40
473,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,0,20
475,Facts about SUPs,Consideration,10,0,0,0,0,0,10,10,0,0,0,0,0,30
476,Facts about SUPs,Consideration,10,0,0,0,10,0,0,0,0,0,10,0,0,30
477,Facts about SUPs,Consideration,10,10,0,0,0,10,10,10,10,10,10,0,0,80
478,Facts about SUPs,Consideration,10,0,0,0,0,10,0,0,0,0,10,0,10,40
479,Facts about SUPs,Awareness,10,0,0,0,0,0,10,0,0,10,0,0,0,30
482,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,10,0,10,0,0,30
483,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
484,Facts about SUPs,Awareness,10,0,10,0,10,0,0,0,0,0,0,0,0,30
485,Facts about SUPs,Consideration,10,0,0,0,0,10,10,10,10,10,10,0,0,70
486,Facts about SUPs,Consideration,10,0,0,10,0,10,10,0,0,10,0,0,0,50
487,Facts about SUPs,Awareness,10,0,0,10,10,0,10,0,10,0,10,0,10,70
489,Facts about SUPs,Consideration,10,0,0,0,0,0,10,0,10,10,0,0,0,40
490,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
491,Facts about SUPs,Consideration,10,0,0,0,10,0,10,10,0,0,0,0,0,40
